Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,vol,upper,lower,daily_returns,excess_returns,rsi,signal,shiftedclose
2016-01-29,215.23333740234375,217.3333282470703,211.23333740234375,213.46665954589844,170.0677947998047,12496231,210.2849983215332,3.7974220597734374,217.8798424410801,202.69015420198633,0.0051796831386357045,0.0051400005989531644,70.36132206116767,,
2016-02-01,212.43333435058594,216.6666717529297,209.89999389648438,216.5,172.48446655273438,7351552,210.19333190917968,3.6104413518731615,217.414214612926,202.97244920543335,0.014210049326355279,0.01417036678667274,77.78171406393429,0,213.46665954589844
2016-02-02,215.93333435058594,217.26666259765625,214.3000030517578,216.1666717529297,172.2189178466797,7066827,210.16499862670898,3.558263250899991,217.28152512850897,203.04847212490898,-0.0015395514237422914,-0.001579233963424831,75.29588384079436,0,216.5
2016-02-03,214.5,216.1666717529297,213.06666564941406,214.63333129882812,170.99728393554688,4921792,210.06833190917968,3.3978420164397374,216.86401594205915,203.2726478763002,-0.007093494294397984,-0.007133176834080524,64.00438918541542,0,216.1666717529297
2016-02-04,214.93333435058594,216.39999389648438,214.0,214.53334045410156,170.91761779785156,3186769,210.29166564941406,3.54148360484434,217.37463285910275,203.20869843972537,-0.00046589124611673416,-0.0005055737857992738,63.262009514997374,0,214.63333129882812
2016-02-05,215.3333282470703,217.3000030517578,214.6666717529297,215.96665954589844,172.0595245361328,6504091,210.76999893188477,3.6330674907492613,218.03613391338328,203.50386395038626,0.006681035887311504,0.006641353347628964,69.37268397090415,0,214.53334045410156
2016-02-08,216.53334045410156,216.60000610351562,209.5,210.1666717529297,167.43873596191406,6267885,210.82333221435547,3.615046387648239,218.05342498965194,203.593239439059,-0.02685575580123367,-0.026895438340916213,38.37664513971203,0,215.96665954589844
2016-02-09,208.8333282470703,209.1666717529297,206.5,208.26666259765625,165.92498779296875,11473299,210.70166549682617,3.6600829689339136,218.02183143469398,203.38149955895835,-0.00904060915324656,-0.009080291692929099,32.643148078488096,0,210.1666717529297
2016-02-10,208.06666564941406,208.63333129882812,204.6666717529297,206.0,164.11915588378906,7865656,210.49666519165038,3.807410374009344,218.11148593966908,202.88184444363168,-0.010883423486719779,-0.010923106026402318,26.89163374576347,0,208.26666259765625
2016-02-11,207.13333129882812,207.13333129882812,198.3000030517578,199.03334045410156,158.56886291503906,14039940,209.92333221435547,4.589832528917305,219.10299727219007,200.74366715652087,-0.03381867850136944,-0.03385836104105198,16.29950069746556,0,206.0
